Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-10-21 07:49:07,2023-10-21 07:50:26,temp-0.0,gpt-35-turbo,0.0,sat-math-100,100,0.44,33448,33230,66678,666.78,0.116632,0.00116632,78.774141,0.78774141
2023-10-21 07:50:26,2023-10-21 07:52:32,temp-0.1,gpt-35-turbo,0.1,sat-math-100,100,0.45,33448,36655,70103,701.03,0.123482,0.00123482,126.399969,1.26399969
2023-10-21 07:52:32,2023-10-21 07:54:18,temp-0.2,gpt-35-turbo,0.2,sat-math-100,100,0.45,33448,36690,70138,701.38,0.123552,0.00123552,105.129125,1.05129125
2023-10-21 07:54:18,2023-10-21 07:56:37,temp-0.3,gpt-35-turbo,0.3,sat-math-100,100,0.47,33448,38236,71684,716.84,0.126644,0.00126644,139.270688,1.39270688
2023-10-21 07:56:37,2023-10-21 07:58:56,temp-0.4,gpt-35-turbo,0.4,sat-math-100,100,0.44,33448,38867,72315,723.15,0.127906,0.0012790599999999,139.070984,1.3907098400000002
2023-10-21 07:58:56,2023-10-21 08:01:40,temp-0.5,gpt-35-turbo,0.5,sat-math-100,100,0.47,33448,40085,73533,735.33,0.130342,0.00130342,164.062261,1.64062261
2023-10-21 08:01:40,2023-10-21 08:04:19,temp-0.6,gpt-35-turbo,0.6,sat-math-100,100,0.48,33448,38329,71777,717.77,0.12683,0.0012683,158.915706,1.58915706
2023-10-21 08:04:19,2023-10-21 08:06:59,temp-0.7,gpt-35-turbo,0.7,sat-math-100,100,0.47,33448,42263,75711,757.11,0.1346979999999999,0.0013469799999999,160.151078,1.60151078
2023-10-21 08:06:59,2023-10-21 08:09:55,temp-0.8,gpt-35-turbo,0.8,sat-math-100,100,0.51,33448,44911,78359,783.59,0.139994,0.00139994,176.112984,1.7611298400000002
2023-10-21 08:09:55,2023-10-21 08:13:11,temp-0.9,gpt-35-turbo,0.9,sat-math-100,100,0.5,33448,46064,79512,795.12,0.1423,0.001423,195.974333,1.95974333
2023-10-21 08:13:11,2023-10-21 08:16:34,temp-1.0,gpt-35-turbo,1.0,sat-math-100,100,0.47,33448,47128,80576,805.76,0.144428,0.00144428,202.614829,2.02614829
